# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#           t                bm_masse_c       bm_masse_actuelle   latency_alumina_mass  dissolving_alumina_mass  bath_thermal_energy_shift    mean_temperature   variance_temperature  variance_concentration_pct  variance_concentration  average_concentration_pct  average_concentration 
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    6.805000000000e+03   2.380846538722e+02   2.382733851324e+02    0.000000000000e+00     1.887312601503e-01        2.373731823084e+06      1.223105418065e+03    2.292816357092e+01       1.578702586663e-01        7.737231043702e+01       3.068905172722e+00       6.632537176752e+01  
    6.806000000000e+03   2.380541770754e+02   2.382201043115e+02    0.000000000000e+00     1.659272361107e-01        2.445856614045e+06      1.223108621146e+03    2.283543350737e+01       1.571288842095e-01        7.699363590589e+01       3.068527040495e+00       6.631688157361e+01  
    6.807000000000e+03   2.380209483329e+02   2.381668234907e+02    0.000000000000e+00     1.458751578240e-01        2.519439936824e+06      1.223111889001e+03    2.274112753397e+01       1.563269870242e-01        7.658491580108e+01       3.068113556131e+00       6.630762474555e+01  
    6.808000000000e+03   2.379853264762e+02   2.384395204386e+02    3.259777687334e-01     1.282161936205e-01        2.261794287969e+06      1.223100446889e+03    2.300648702280e+01       1.554745724679e-01        7.615138849954e+01       3.067669306364e+00       6.629770124629e+01  
    6.809000000000e+03   2.379945328799e+02   2.383862396177e+02    0.000000000000e+00     3.917067378565e-01        2.312886982414e+06      1.223102715929e+03    2.293781899618e+01       1.552004655686e-01        7.604664231573e+01       3.067729494532e+00       6.630026595652e+01  
    6.810000000000e+03   2.379933523928e+02   2.383329587969e+02    0.000000000000e+00     3.396064040409e-01        2.369484731080e+06      1.223105229451e+03    2.286286612709e+01       1.549025566344e-01        7.589269630185e+01       3.067726736961e+00       6.629993709768e+01  
    6.811000000000e+03   2.379842538332e+02   2.382796779761e+02    0.000000000000e+00     2.954241428704e-01        2.430279057948e+06      1.223107929343e+03    2.278320236952e+01       1.544977751568e-01        7.568413572558e+01       3.067622637415e+00       6.629740243053e+01  
    6.812000000000e+03   2.379688558432e+02   2.382263971552e+02    0.000000000000e+00     2.575413120162e-01        2.494412081797e+06      1.223110777508e+03    2.269989227267e+01       1.539924653033e-01        7.542448994435e+01       3.067437845919e+00       6.629311287472e+01  
    6.813000000000e+03   2.379483054302e+02   2.381731163344e+02    0.000000000000e+00     2.248109042186e-01        2.561275890006e+06      1.223113746947e+03    2.261371377648e+01       1.533978651372e-01        7.511990731288e+01       3.067187001573e+00       6.628738796233e+01  
    6.814000000000e+03   2.379234548769e+02   2.381198355135e+02    0.000000000000e+00     1.963806366619e-01        2.630418772955e+06      1.223116817601e+03    2.252525942723e+01       1.527260885079e-01        7.477687960271e+01       3.066880987006e+00       6.628046512140e+01  
    6.815000000000e+03   2.378949610943e+02   2.380665546927e+02    0.000000000000e+00     1.715935984416e-01        2.701492567206e+06      1.223119974007e+03    2.243499444007e+01       1.519885935945e-01        7.440144074818e+01       3.066528192990e+00       6.627252735350e+01  
    6.816000000000e+03   2.378633456654e+02   2.386652294093e+02    6.519555374668e-01     1.499282064452e-01        2.109226186032e+06      1.223093671299e+03    2.323185853933e+01       1.511956777385e-01        7.399893227538e+01       3.066135288210e+00       6.626371996067e+01  
    6.817000000000e+03   2.379183293825e+02   2.386119485885e+02    0.000000000000e+00     6.936192059883e-01        2.136056905924e+06      1.223094862858e+03    2.320269682078e+01       1.519505794496e-01        7.448774996467e+01       3.066702975515e+00       6.627903726658e+01  
    6.818000000000e+03   2.379550433171e+02   2.385586677676e+02    0.000000000000e+00     6.036244505374e-01        2.172570611990e+06      1.223096484442e+03    2.316013698509e+01       1.527074586219e-01        7.486456266243e+01       3.067184575562e+00       6.628926499576e+01  
    6.819000000000e+03   2.379779580399e+02   2.385053869468e+02    0.000000000000e+00     5.274289068627e-01        2.216397899172e+06      1.223098430823e+03    2.310755736581e+01       1.532360374741e-01        7.512318484407e+01       3.067489898061e+00       6.629564855508e+01  
    6.820000000000e+03   2.379899819133e+02   2.384521061259e+02    0.000000000000e+00     4.621242126451e-01        2.265997337169e+06      1.223100633548e+03    2.304716785464e+01       1.535515101870e-01        7.527204534460e+01       3.067655998646e+00       6.629899815304e+01  
    6.821000000000e+03   2.379931605585e+02   2.383988253051e+02    0.000000000000e+00     4.056647465500e-01        2.320284744638e+06      1.223103044466e+03    2.298054040011e+01       1.536767161561e-01        7.532373332392e+01       3.067708947910e+00       6.629988365668e+01  
    6.822000000000e+03   2.379890010294e+02   2.383455444842e+02    0.000000000000e+00     3.565434548387e-01        2.378461384220e+06      1.223105628106e+03    2.290884424329e+01       1.536354127194e-01        7.529112974607e+01       3.067667958431e+00       6.629872489944e+01  
    6.823000000000e+03   2.379786540713e+02   2.382922636634e+02    0.000000000000e+00     3.136095921114e-01        2.439917363687e+06      1.223108357383e+03    2.283297806488e+01       1.534497581796e-01        7.518606468304e+01       3.067547708839e+00       6.629584245477e+01  
    6.824000000000e+03   2.379630244872e+02   2.382389828426e+02    0.000000000000e+00     2.759583553482e-01        2.504173132978e+06      1.223111210998e+03    2.275365130874e+01       1.531395347651e-01        7.501895876673e+01       3.067359745735e+00       6.629148838172e+01  
    6.825000000000e+03   2.379428412176e+02   2.381857020217e+02    0.000000000000e+00     2.428608041540e-01        2.570842355650e+06      1.223114171796e+03    2.267143683100e+01       1.527220696429e-01        7.479883150778e+01       3.067113377218e+00       6.628586574775e+01  
    6.826000000000e+03   2.379187035179e+02   2.381324212009e+02    0.000000000000e+00     2.137176830012e-01        2.639607426119e+06      1.223117225672e+03    2.258680622395e+01       1.522124177548e-01        7.453343838990e+01       3.066816259704e+00       6.627914149282e+01  
    6.827000000000e+03   2.378911123475e+02   2.380791403800e+02    0.000000000000e+00     1.880280325091e-01        2.710202837009e+06      1.223120360833e+03    2.250015419604e+01       1.516236291125e-01        7.422943923766e+01       3.066474797801e+00       6.627145517369e+01  
